condition,generation,cumulative_evals,mean_best_so_far,std_best_so_far,mean_pop_mean_fitness
random_search,16,1700,17.566778254917654,0.16754725113816568,20.75955189294574
random_search,17,1800,17.36445407456181,0.36988278168365635,20.758203408121375
random_search,18,1900,17.285273923182636,0.37297593130599244,20.730623007065677
random_search,19,2000,17.167051218269858,0.3279712621436296,20.8410186060862
random_search,20,2100,17.167051218269858,0.3279712621436296,20.839211930135576
random_search,21,2200,17.167051218269858,0.3279712621436296,20.858417941294725
random_search,22,2300,17.131968617710847,0.2932115826287138,20.78730542959501
random_search,23,2400,17.131968617710847,0.2932115826287138,20.878276992154795
random_search,24,2500,17.131968617710847,0.2932115826287138,20.822420649483767
random_search,25,2600,17.131968617710847,0.2932115826287138,20.80542301371878
random_search,26,2700,17.131968617710847,0.2932115826287138,20.799087956788416
random_search,27,2800,17.131968617710847,0.2932115826287138,20.80528039269512
random_search,28,2900,17.131968617710847,0.2932115826287138,20.788038029971894
random_search,29,3000,17.131968617710847,0.2932115826287138,20.716096409786694
random_search,30,3100,17.131968617710847,0.2932115826287138,20.753733201115033
random_search,31,3200,17.131968617710847,0.2932115826287138,20.729483661279676
random_search,32,3300,17.131968617710847,0.2932115826287138,20.795619287826305
random_search,33,3400,17.131968617710847,0.2932115826287138,20.82968348647799
random_search,34,3500,17.07007495618609,0.23170439799554543,20.7851715040108
random_search,35,3600,17.07007495618609,0.23170439799554543,20.810219094686357
random_search,36,3700,17.07007495618609,0.23170439799554543,20.789718674317847
random_search,37,3800,17.07007495618609,0.23170439799554543,20.932137101496814
random_search,38,3900,17.07007495618609,0.23170439799554543,20.802032188647043
random_search,39,4000,17.07007495618609,0.23170439799554543,20.797431463318084
random_search,40,4100,17.058148152161294,0.21705459447436112,20.817359977153625
random_search,41,4200,17.058148152161294,0.21705459447436112,20.762253982281752
random_search,42,4300,17.058148152161294,0.21705459447436112,20.80529474800748
random_search,43,4400,17.058148152161294,0.21705459447436112,20.940078022260924
random_search,44,4500,17.058148152161294,0.21705459447436112,20.83206841125397
random_search,45,4600,17.058148152161294,0.21705459447436112,20.71910872283455
random_search,46,4700,17.058148152161294,0.21705459447436112,20.87363028067139
random_search,47,4800,17.058148152161294,0.21705459447436112,20.7102950981319
random_search,48,4900,17.058148152161294,0.21705459447436112,20.79540142030986
random_search,49,5000,17.058148152161294,0.21705459447436112,20.865154250324363
random_search,50,5100,17.058148152161294,0.21705459447436112,20.795965973818276
