condition,seed,generation,cumulative_evals,pop_mean_fitness,pop_std_fitness,best_so_far
mutation_only,2,49,5000,14.948475307976969,0.4848675755514279,13.644994432064365
mutation_only,2,50,5100,15.20041202851353,0.6323785398901234,13.644994432064365
mutation_only,3,0,100,20.787144770048453,0.9792709373670397,18.2
mutation_only,3,1,200,19.69944967801381,1.2121774927696303,15.975467891024385
mutation_only,3,2,300,18.40017982836158,1.3429237555571285,15.660107523773828
mutation_only,3,3,400,17.279253972802863,0.8695717930336407,15.258089374931439
mutation_only,3,4,500,16.72523220418084,0.5824338694319448,15.258089374931439
mutation_only,3,5,600,16.363851268384945,0.5614646431782324,14.839607805437115
mutation_only,3,6,700,16.088167770300657,0.6044304235399687,14.526649916142159
mutation_only,3,7,800,15.888303414386066,0.5507592043276135,14.526649916142159
mutation_only,3,8,900,15.851093415566602,0.5839774482249201,14.45472369909914
mutation_only,3,9,1000,15.691170841464748,0.5611653323822062,14.44928556845359
mutation_only,3,10,1100,15.50705393591646,0.5439904921639804,13.669693845669906
mutation_only,3,11,1200,15.42825285542756,0.6238765130416863,13.669693845669906
mutation_only,3,12,1300,15.209997428558825,0.6862369686516223,13.341640786499873
mutation_only,3,13,1400,15.156963600067936,0.6659709028573496,13.341640786499873
mutation_only,3,14,1500,15.14710832636097,0.6550885594807129,13.341640786499873
mutation_only,3,15,1600,15.039915820114887,0.5722345870605359,13.341640786499873
mutation_only,3,16,1700,14.98204020587288,0.5295169629072388,13.341640786499873
mutation_only,3,17,1800,15.091984031445298,0.5628465817440391,13.341640786499873
mutation_only,3,18,1900,15.117117693603864,0.6200039307346954,13.341640786499873
mutation_only,3,19,2000,15.074852879488539,0.5781470809331857,13.341640786499873
mutation_only,3,20,2100,15.116699596456149,0.5707295934346437,13.341640786499873
mutation_only,3,21,2200,15.140925122075593,0.6221928996378631,13.341640786499873
mutation_only,3,22,2300,15.059927407662704,0.5293815737025662,13.341640786499873
mutation_only,3,23,2400,15.015119443306265,0.5993586208339644,13.341640786499873
mutation_only,3,24,2500,14.964447772708747,0.5945546011159818,13.341640786499873
mutation_only,3,25,2600,14.94438879496471,0.6146813469724284,13.341640786499873
mutation_only,3,26,2700,14.904709210235744,0.6023292070928076,13.341640786499873
mutation_only,3,27,2800,14.938472874248246,0.6480601696090286,13.341640786499873
mutation_only,3,28,2900,14.877799664935642,0.7478888459015557,13.063818169698585
mutation_only,3,29,3000,14.789804676153897,0.7642539296693732,13.063818169698585
mutation_only,3,30,3100,14.79029078925092,0.7463750794930948,13.063818169698585
mutation_only,3,31,3200,14.696090499406335,0.5869890300609268,13.063818169698585
mutation_only,3,32,3300,14.81209230371491,0.731297799557298,13.063818169698585
mutation_only,3,33,3400,14.776711509651854,0.6540372804878528,13.063818169698585
mutation_only,3,34,3500,14.826256935982444,0.6559021928446281,13.063818169698585
mutation_only,3,35,3600,14.742875023771942,0.5916292261194299,13.063818169698585
mutation_only,3,36,3700,14.774051579579918,0.7489230680085459,13.063818169698585
mutation_only,3,37,3800,14.714810209090304,0.6328836023763441,13.063818169698585
mutation_only,3,38,3900,14.824716687542645,0.6892776104252731,13.063818169698585
mutation_only,3,39,4000,14.878757929018581,0.6269403127028261,13.063818169698585
mutation_only,3,40,4100,14.922898099514407,0.6631478435654043,13.063818169698585
mutation_only,3,41,4200,14.994065936586415,0.6983456281677487,13.063818169698585
mutation_only,3,42,4300,15.013691982501882,0.6737213275842998,13.063818169698585
mutation_only,3,43,4400,15.12546014480203,0.728967525749649,13.063818169698585
mutation_only,3,44,4500,15.082365474843606,0.7237971083416073,13.063818169698585
mutation_only,3,45,4600,15.081427573448861,0.6888540622608249,13.063818169698585
mutation_only,3,46,4700,15.025442971073149,0.6988580699124474,13.063818169698585
mutation_only,3,47,4800,14.872413517471758,0.7031939666636075,13.063818169698585
mutation_only,3,48,4900,14.876213026793065,0.69385507192519,13.063818169698585
mutation_only,3,49,5000,14.93861410467938,0.7899021180815642,13.063818169698585
mutation_only,3,50,5100,15.016581405033662,0.7589876746755643,13.063818169698585
mutation_only,4,0,100,20.62285607058501,0.9788764107966168,17.880624847486573
mutation_only,4,1,200,19.385924279526655,1.2214286411612958,15.409975124224179
mutation_only,4,2,300,18.136734840296945,1.2783357725894784,15.409975124224179
mutation_only,4,3,400,17.050866509343525,0.8560929488226687,15.409975124224179
