condition,seed,target,distance
dynamic_constant,47,target_03,11.5
dynamic_constant,47,target_04,13.0
dynamic_constant,48,target_00,11.0
dynamic_constant,48,target_01,12.0
dynamic_constant,48,target_02,12.0
dynamic_constant,48,target_03,12.5
dynamic_constant,48,target_04,12.0
dynamic_constant,49,target_00,10.5
dynamic_constant,49,target_01,11.5
dynamic_constant,49,target_02,11.5
dynamic_constant,49,target_03,11.0
dynamic_constant,49,target_04,13.5
dynamic_exponential,30,target_00,10.5
dynamic_exponential,30,target_01,12.0
dynamic_exponential,30,target_02,11.5
dynamic_exponential,30,target_03,11.0
dynamic_exponential,30,target_04,12.5
dynamic_exponential,31,target_00,11.5
dynamic_exponential,31,target_01,12.0
dynamic_exponential,31,target_02,12.0
dynamic_exponential,31,target_03,12.0
dynamic_exponential,31,target_04,13.0
dynamic_exponential,32,target_00,10.5
dynamic_exponential,32,target_01,9.5
dynamic_exponential,32,target_02,11.0
dynamic_exponential,32,target_03,12.5
dynamic_exponential,32,target_04,12.5
dynamic_exponential,33,target_00,12.0
dynamic_exponential,33,target_01,12.0
dynamic_exponential,33,target_02,12.5
dynamic_exponential,33,target_03,12.5
dynamic_exponential,33,target_04,12.5
dynamic_exponential,34,target_00,12.0
dynamic_exponential,34,target_01,12.0
dynamic_exponential,34,target_02,12.0
dynamic_exponential,34,target_03,12.5
dynamic_exponential,34,target_04,13.0
dynamic_exponential,35,target_00,10.0
dynamic_exponential,35,target_01,10.0
dynamic_exponential,35,target_02,11.0
dynamic_exponential,35,target_03,12.5
dynamic_exponential,35,target_04,13.5
dynamic_exponential,36,target_00,9.5
dynamic_exponential,36,target_01,10.0
dynamic_exponential,36,target_02,12.0
dynamic_exponential,36,target_03,10.5
dynamic_exponential,36,target_04,13.5
dynamic_exponential,37,target_00,12.5
dynamic_exponential,37,target_01,12.5
dynamic_exponential,37,target_02,11.5
dynamic_exponential,37,target_03,12.5
dynamic_exponential,37,target_04,13.0
dynamic_exponential,38,target_00,11.5
dynamic_exponential,38,target_01,10.5
dynamic_exponential,38,target_02,12.5
